feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
d__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Burkholderiales..f__Methylophilaceae..NA	Treatment	ST	2.08021393582721	0.485640149096612	23	13	0.000329896747494477	0.0135839837203608
d__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhizobiales..f__Methyloligellaceae..g__Methyloceanibacter	Treatment	ST	-1.45567870899358	0.345124542140286	23	9	0.00038594703157307	0.0150090512278416
d__Bacteria..p__Acidobacteriota..c__Blastocatellia..o__UBA7656..f__UBA7656..g__QHVH01	Treatment	ST	-1.8319021514282	0.446731857496977	23	10	0.000510759428618658	0.0176482171945806
d__Bacteria..p__Bacteroidota..c__Bacteroidia..o__Flavobacteriales..f__Flavobacteriaceae..g__Flavobacterium	Treatment	ST	2.88384904275512	0.705848934134251	23	23	0.000529446515837416	0.0176482171945806
d__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Burkholderiales..f__Burkholderiaceae..g__Ramlibacter	Treatment	ST	2.42349016865714	0.590045005534011	23	18	0.000502735534163143	0.0176482171945806
d__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Steroidobacterales..f__Steroidobacteraceae..g__SCUD01	Treatment	ST	-2.64976586903469	0.656721904986546	23	17	0.000597819417943163	0.0190215269345552
d__Bacteria..p__Acidobacteriota..c__Vicinamibacteria..o__Vicinamibacterales..f__UBA2999..g__Gp6.AA40	Treatment	ST	-1.01702923763752	0.257149529025194	23	23	0.000723420760170857	0.0196012104110225
d__Bacteria..p__Actinobacteriota..c__Actinomycetia..o__Propionibacteriales..f__Nocardioidaceae..NA	Treatment	ST	2.89949188657302	0.73119178070106	23	12	0.000705638980422852	0.0196012104110225
d__Bacteria..p__Bacteroidota..c__Bacteroidia..o__NS11.12g..f__UKL13.3..g__UKL13.3	Treatment	ST	2.65218122753881	0.672880592748222	23	13	0.000747079181754892	0.0196012104110225
d__Bacteria..p__Chloroflexota..c__Anaerolineae..o__Aggregatilineales..NA..NA	Treatment	ST	2.41996538660548	0.614745011655639	23	23	0.000756046687282296	0.0196012104110225
d__Bacteria..p__Firmicutes..c__Bacilli..o__Bacillales_B..f__DSM.18226..g__Niallia	Treatment	ST	-1.98102783288123	0.49502072044434	23	13	0.000646758770187142	0.0196012104110225
d__Bacteria..p__Chloroflexota..c__Anaerolineae..o__Aggregatilineales..f__A4b..NA	Treatment	ST	-2.23736877629832	0.579026151862776	23	12	0.000898849582377621	0.0219761086872053
d__Bacteria..p__Myxococcota_A..c__UBA9160..o__UBA9160..f__UBA9160..g__MYXO	Treatment	ST	-2.38391990726912	0.620097778349801	23	12	0.000941833229451655	0.0219761086872053
d__Bacteria..p__Patescibacteria..c__Saccharimonadia..o__UBA4664..f__UBA4664..g__UBA4664	Treatment	ST	2.26544272643699	0.587791870057919	23	14	0.000920235146046583	0.0219761086872053
d__Bacteria..p__Actinobacteriota..c__Actinomycetia..o__Streptomycetales..f__Streptomycetaceae..NA	Treatment	ST	-2.45578372314956	0.6467046675635	23	10	0.00105353567584981	0.0228334247485901
d__Bacteria..p__Eisenbacteria..c__RBG.16.71.46..o__SZUA.252..f__SZUA.252..g__WS.7	Treatment	ST	-2.18842113788419	0.577671315681801	23	13	0.00107643288100496	0.0228334247485901
d__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhizobiales..f__Xanthobacteraceae..g__Pseudolabrys	Treatment	ST	1.7567875790854	0.461899578802192	23	17	0.00103854864035178	0.0228334247485901
d__Bacteria..p__Acidobacteriota..c__Thermoanaerobaculia..o__UBA5704..f__UBA5704..g__JAAYLR01	Treatment	ST	-1.42499305120997	0.38165530110331	23	21	0.0012258425070819	0.0252379339693332
d__Bacteria..p__Bacteroidota..c__Bacteroidia..o__Sphingobacteriales..f__Sphingobacteriaceae..g__Mucilaginibacter	Treatment	ST	3.6518038885969	0.986920792708108	23	19	0.00132747497236108	0.0265494994472215
d__Bacteria..p__Bacteroidota..c__Bacteroidia..o__Chitinophagales..f__Chitinophagaceae..g__Flavipsychrobacter	Treatment	ST	2.64342962832059	0.717172680021992	23	23	0.00137331429889322	0.0267033335895904
d__Bacteria..p__Actinobacteriota..c__Actinomycetia..o__Streptosporangiales..f__Streptosporangiaceae..g__Nonomuraea	Treatment	ST	-2.12174707326635	0.580163881982041	23	18	0.0014702953916525	0.0270843887935986
d__Bacteria..p__Hydrogenedentota..c__Hydrogenedentia..o__Hydrogenedentiales..f__JACPGD01..g__JACPGD01	Treatment	ST	2.01966003899723	0.55089421349834	23	12	0.00143924295480761	0.0270843887935986
d__Bacteria..p__Chloroflexota..c__Anaerolineae..o__Caldilineales..f__Caldilineaceae..g__Caldilinea	Treatment	ST	-2.12041724473401	0.582351471262748	23	11	0.00152723554344712	0.0274119200105894
d__Bacteria..p__Bacteroidota..c__Bacteroidia..o__Sphingobacteriales..f__Sphingobacteriaceae..g__Pedobacter	Treatment	ST	2.92299284160171	0.811404320107695	23	19	0.00167406511727914	0.0292961395523849
d__Bacteria..p__Methylomirabilota..c__Methylomirabilia..o__Rokubacteriales..f__CSP1.6..g__UBA12499	Treatment	ST	-1.29860573918059	0.366166545862029	23	9	0.00191071332808126	0.03262193486968
d__Bacteria..p__Acidobacteriota..c__Vicinamibacteria..o__Vicinamibacterales..f__UBA2999..NA	Treatment	ST	-1.65644853558965	0.479871860079429	23	8	0.00238845438112304	0.0386517567414422
d__Bacteria..p__Actinobacteriota..c__Thermoleophilia..o__Miltoncostaeales..f__Miltoncostaeaceae..g__Miltoncostaea	Treatment	ST	-1.46701695815006	0.425709069943151	23	11	0.00242127895488954	0.0386517567414422
d__Bacteria..p__Fibrobacterota..c__Fibrobacteria..o__Fibrobacterales..f__Fibrobacteraceae..NA	Treatment	ST	2.17643422143021	0.631838063756264	23	14	0.00242953899517637	0.0386517567414422
d__Bacteria..p__Firmicutes..c__Bacilli..o__Bacillales..f__Bacillaceae_H..g__Priestia	Treatment	ST	-1.88738152840194	0.550590200864222	23	9	0.00252675251420124	0.0393050391097971
d__Bacteria..p__Actinobacteriota..c__Actinomycetia..o__Mycobacteriales..f__Pseudonocardiaceae..g__Lentzea	Treatment	ST	1.15657836518719	0.339501354438889	23	7	0.00265596399768891	0.0395569106038774
d__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhizobiales..f__Rhizobiaceae..g__Neorhizobium	Treatment	ST	1.33794289314978	0.391781766082837	23	7	0.00260454448639787	0.0395569106038774
d__Bacteria..p__Bacteroidota..c__Bacteroidia..o__Chitinophagales..f__Chitinophagaceae..g__Ferruginibacter	Treatment	ST	1.43488459893785	0.422378717585123	23	22	0.00271615716737451	0.039610625357545
d__Bacteria..p__Chloroflexota..c__Dehalococcoidia..o__UBA3495..f__GCA.2712585..g__VGZZ01	Treatment	ST	-1.49124093549276	0.44389459065001	23	11	0.0029672282023327	0.042011892142342
d__Bacteria..p__Planctomycetota..c__Brocadiae..NA..NA..NA	Treatment	ST	-1.85903741345904	0.555569979755424	23	13	0.00306086642751349	0.042011892142342
d__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Caulobacterales..f__Caulobacteraceae..g__Brevundimonas	Treatment	ST	2.47080112930767	0.737005136284454	23	22	0.00301599388909718	0.042011892142342
d__Bacteria..p__UBA10199..c__UBA10199..o__UBA10199..f__2.12.FULL.40.28..g__2.12.FULL.40.28	Treatment	ST	1.98552017648549	0.599077028185279	23	10	0.00329782840367647	0.0443938438956448
d__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rickettsiales..f__JABCZZ01..g__JABCZZ01	Treatment	ST	1.71605516276459	0.519927292504195	23	7	0.00340531483397425	0.0449758562977731
d__Bacteria..p__Armatimonadota..c__Fimbriimonadia..o__Fimbriimonadales..f__Fimbriimonadaceae..g__Fimbriimonas	Treatment	ST	3.49258609002209	1.07040498775519	23	18	0.00371832148219146	0.0482004636580374
d__Bacteria..p__Bacteroidota..c__Bacteroidia..o__AKYH767..f__B.17BO..g__UBA2475	Treatment	ST	2.18378665368242	0.675393866785762	23	22	0.00398269994813395	0.0497837493516743
d__Bacteria..p__Firmicutes..c__Bacilli..o__Bacillales_B..NA..NA	Treatment	ST	-1.96942707894499	0.608564803904892	23	13	0.00395657283550287	0.0497837493516743
d__Bacteria..p__Gemmatimonadota..c__Gemmatimonadetes..o__Gemmatimonadales..f__GWC2.71.9..g__DSTP01	Treatment	ST	-1.29204412340946	0.401418697059858	23	6	0.00412072667065426	0.0506054152536488
d__Bacteria..p__Planctomycetota..c__Planctomycetia..o__Gemmatales..f__Gemmataceae..g__VGYC01	Treatment	ST	-1.68672078719321	0.527813960891266	23	21	0.00434693548059138	0.0515738107866774
d__Bacteria..p__Schekmanbacteria..c__GWA2.38.11..o__GWA2.38.11..f__J061..g__J061	Treatment	ST	-1.65668637863613	0.518109263729967	23	10	0.00432793038725924	0.0515738107866774
d__Bacteria..p__Bacteroidota..c__Bacteroidia..o__Chitinophagales..NA..NA	Treatment	ST	2.32965258764354	0.732350736949663	23	10	0.00449671690226947	0.0516016693703053
d__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pseudomonadales..f__Pseudomonadaceae..NA	Treatment	ST	3.11004028320808	0.976357800015266	23	18	0.00445225329102631	0.0516016693703053
d__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhodobacterales..f__Rhodobacteraceae..NA	Treatment	ST	-1.61407934670493	0.515364428213998	23	18	0.0050381115431887	0.0560333689645663
d__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Xanthomonadales..f__Xanthomonadaceae..g__Arenimonas	Treatment	ST	1.89647784570261	0.605613588796089	23	23	0.00504300320681097	0.0560333689645663
d__Bacteria..p__Acidobacteriota..c__Vicinamibacteria..o__Vicinamibacterales..f__SCN.69.37..g__SCN.69.37	Treatment	ST	-1.12236823170548	0.361724783264548	23	23	0.00538785362983588	0.0574913591037962
d__Bacteria..p__Planctomycetota..c__Planctomycetia..o__Pirellulales..f__Thermoguttaceae..g__SKOZ01	Treatment	ST	-1.13912160261453	0.368021232764893	23	6	0.00548254756309601	0.0574913591037962
d__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhodobacterales..f__Rhodobacteraceae..g__Paracoccus	Treatment	ST	1.24425448582617	0.40001164442339	23	7	0.00529280426261735	0.0574913591037962
d__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rickettsiales..f__Midichloriaceae..g__Jidaibacter	Treatment	ST	1.54343862450928	0.498903154272601	23	7	0.00550274437136335	0.0574913591037962
d__Bacteria..p__Desulfobacterota_B..c__Binatia..o__UBA9968..f__UBA9968..NA	Treatment	ST	-2.19209466843943	0.712866333882898	23	7	0.0057436457910487	0.0582688703439723
d__Bacteria..p__Nitrospirota..c__Nitrospiria..o__Nitrospirales..f__Nitrospiraceae..g__Nitrospira_A	Treatment	ST	-2.03405655048705	0.661088301978657	23	11	0.0057200880259833	0.0582688703439723
d__Bacteria..p__Dependentiae..c__Babeliae..o__Babeliales..NA..NA	Treatment	ST	2.74238967506509	0.897958277636468	23	19	0.00602776363936811	0.0602776363936811
d__Bacteria..p__Bacteroidota..c__Bacteroidia..o__Sphingobacteriales..f__Sphingobacteriaceae..NA	Treatment	ST	2.63266318490617	0.869682271501401	23	17	0.006410884892613	0.0623280475670708
d__Bacteria..p__Desulfobacterota_B..c__Binatia..o__Bin18..f__Bin18..NA	Treatment	ST	-1.73692101253415	0.573439562353958	23	12	0.00638454903933711	0.0623280475670708
d__Bacteria..p__Acidobacteriota..c__Vicinamibacteria..o__Vicinamibacterales..f__UBA2999..g__12.FULL.67.14b	Treatment	ST	1.4258542952304	0.473837583193308	23	23	0.00668041143398009	0.0631930811322441
d__Bacteria..p__Actinobacteriota..c__Actinomycetia..o__Mycobacteriales..f__Micromonosporaceae..g__Micromonospora	Treatment	ST	-2.14756827974803	0.713246704020062	23	18	0.00665276793040741	0.0631930811322441
d__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhizobiales..f__Hyphomicrobiaceae..g__Hyphomicrobium	Treatment	ST	-1.18328600437416	0.394858883427722	23	20	0.00687296781104015	0.0641476995697081
d__Bacteria..p__Bacteroidota..c__Bacteroidia..o__Chitinophagales..f__Chitinophagaceae..g__Flavisolibacter	Treatment	ST	2.03663629843707	0.685870687751029	23	19	0.00731499677844186	0.0665993626049421
d__Bacteria..p__Gemmatimonadota..c__Gemmatimonadetes..o__Longimicrobiales..f__Longimicrobiaceae..g__Longimicrobium	Treatment	ST	2.2166326389853	0.746652174957136	23	21	0.00732592988654362	0.0665993626049421
d__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Legionellales..f__Legionellaceae..g__Legionella	Treatment	ST	2.27111193928073	0.784758266605856	23	16	0.00868131667541456	0.0779092522152589
d__Bacteria..p__Planctomycetota..c__UBA1135..o__UBA1135..f__GCA.002686595..g__JABFRZ01	Treatment	ST	-1.2171643913812	0.423089336890987	23	8	0.00902521807765349	0.0779957117821907
d__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Sphingomonadales..f__Sphingomonadaceae..g__Sphingomonas	Treatment	ST	2.31249714033233	0.801276780122425	23	14	0.00884012710214034	0.0779957117821907
d__Bacteria..p__Verrucomicrobiota..c__Verrucomicrobiae..o__Pedosphaerales..f__SIBE01..g__SIBE01	Treatment	ST	-2.07539691051878	0.721382274741522	23	14	0.00902271359888549	0.0779957117821907
d__Bacteria..p__Chloroflexota..c__Anaerolineae..o__Aggregatilineales..f__A4b..g__OLB15	Treatment	ST	-1.48583044736935	0.519826753236604	23	9	0.00941081383861549	0.0803362156954981
d__Bacteria..p__Acidobacteriota..c__Vicinamibacteria..o__Vicinamibacterales..f__UBA2999..g__WHSN01	Treatment	ST	0.7264387809657	0.25661584663318	23	23	0.0100116604795205	0.0811392781991861
d__Bacteria..p__Actinobacteriota..c__Acidimicrobiia..o__Acidimicrobiales..f__Ilumatobacteraceae..NA	Treatment	ST	-1.48091180693538	0.521778778760522	23	11	0.00984728427762225	0.0811392781991861
d__Bacteria..p__Bacteroidota..c__Bacteroidia..o__Flavobacteriales..f__Flavobacteriaceae..g__Confluentibacter	Treatment	ST	2.25459315157726	0.792138846341539	23	14	0.00967123177165444	0.0811392781991861
d__Bacteria..p__Gemmatimonadota..c__Gemmatimonadetes..o__Gemmatimonadales..f__Gemmatimonadaceae..g__Gemmatimonas	Treatment	ST	1.44200097970467	0.509969828558229	23	22	0.0100844531476131	0.0811392781991861
d__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhizobiales..f__Devosiaceae..g__Devosia	Treatment	ST	2.89022641608409	1.01922633575474	23	16	0.00990268061817117	0.0811392781991861
d__Bacteria..p__Acidobacteriota..c__Blastocatellia..o__Pyrinomonadales..f__Pyrinomonadaceae..g__QHXM01	Treatment	ST	-1.36769653933503	0.488679776177278	23	23	0.0107595691000728	0.0853306372588616
d__Bacteria..p__Verrucomicrobiota..c__Verrucomicrobiae..o__Opitutales..f__Opitutaceae..g__Rariglobus	Treatment	ST	1.1645295870474	0.416638834241105	23	6	0.0108491810229124	0.0853306372588616
d__Bacteria..p__Actinobacteriota..c__Actinomycetia..o__Mycobacteriales..NA..NA	Treatment	ST	-1.22596275726041	0.439666773505926	23	17	0.0110124261752491	0.0854445339772128
d__Bacteria..p__Chloroflexota..c__Anaerolineae..o__Anaerolineales..NA..NA	Treatment	ST	-1.52195569671374	0.54713772481475	23	8	0.0111793938275703	0.0854445339772128
d__Bacteria..p__Chloroflexota..c__Anaerolineae..o__Caldilineales..f__Caldilineaceae..NA	Treatment	ST	-1.53909963600352	0.553701560017239	23	11	0.0112298530370051	0.0854445339772128
d__Bacteria..p__Actinobacteriota..c__UBA4738..o__UBA4738..f__HRBIN12..g__AC.51	Treatment	ST	-1.75330706047717	0.636986828798556	23	20	0.0119321309130075	0.0898117380548949
d__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Caulobacterales..f__Caulobacteraceae..g__Phenylobacterium	Treatment	ST	1.78658703641646	0.656108438329708	23	15	0.0127421598500519	0.0929115822399619
d__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Sphingomonadales..f__Sphingomonadaceae..NA	Treatment	ST	2.05871836983755	0.755174265987882	23	22	0.012653385132406	0.0929115822399619
d__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Legionellales..f__Legionellaceae..NA	Treatment	ST	2.43273795697556	0.891452967351288	23	20	0.0125745960937115	0.0929115822399619
d__Bacteria..p__Nitrospirota..c__Nitrospiria..o__Nitrospirales..f__Nitrospiraceae..g__Nitrospira_C	Treatment	ST	-1.98608721143122	0.731756781892963	23	22	0.0129957834878939	0.0937840045518115
d__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__DSM.16500..f__DSM.16500..g__SCGC.AG.212.F23	Treatment	ST	1.75573959316482	0.652021906248174	23	15	0.0136267349985862	0.0973338214184728
d__Bacteria..p__Acidobacteriota..c__Vicinamibacteria..o__Vicinamibacterales..f__2.12.FULL.66.21..g__JACDCA01	Treatment	ST	-0.459984404147842	0.171538985545821	23	23	0.0139702611890616	0.0987304166109275
d__Bacteria..p__Bacteroidota..c__Bacteroidia..o__Chitinophagales..f__Chitinophagaceae..g__Pseudobacter	Treatment	ST	-1.81498141380279	0.679082837719753	23	11	0.0142453886824338	0.0987304166109275
d__Bacteria..p__Bdellovibrionota..c__Oligoflexia..o__Oligoflexales..f__Oligoflexaceae..NA	Treatment	ST	-1.37846901656135	0.515569292459961	23	12	0.0142143118320062	0.0987304166109275
d__Archaea..p__Halobacteriota..c__Methanosarcinia..o__Methanosarcinales..f__Methanosarcinaceae..g__Methanosarcina	Treatment	ST	-1.25974862207989	0.472943465045808	23	5	0.0145333434196391	0.0997386313112487
d__Bacteria..p__Actinobacteriota..c__Acidimicrobiia..o__UBA5794..NA..NA	Treatment	ST	-1.61041092825969	0.608486172199849	23	9	0.0150901483906139	0.101870116456569
d__Bacteria..p__Chloroflexota..c__Anaerolineae..o__UBA4142..f__UBA4142..g__VGOB01	Treatment	ST	-1.11644916407189	0.422238862290872	23	10	0.0151724151058549	0.101870116456569
d__Bacteria..p__Firmicutes..c__Bacilli..o__Bacillales_D..f__Amphibacillaceae..NA	Treatment	ST	-1.1265703850208	0.426586906520219	23	6	0.0152805174684853	0.101870116456569
d__Bacteria..p__Actinobacteriota..c__Acidimicrobiia..o__Acidimicrobiales..f__UBA8139..g__F1.20.MAGs160	Treatment	ST	-1.61418716482984	0.613551934177384	23	7	0.0156205432655943	0.103154530999207
d__Bacteria..p__Acidobacteriota..c__Acidobacteriae..o__Bryobacterales..f__Bryobacteraceae..g__JACADU01	Treatment	ST	-1.72934182274582	0.660856427326213	23	10	0.0161108640820052	0.103193549668905
d__Bacteria..p__Nitrospirota..c__Nitrospiria..o__Nitrospirales..f__UBA8639..g__UBA8639	Treatment	ST	-1.05566413900484	0.402408114507438	23	5	0.015880908547048	0.103193549668905
d__Bacteria..p__Planctomycetota..c__Planctomycetia..o__Gemmatales..f__Gemmataceae..g__REEB421	Treatment	ST	-1.31114301094559	0.501613467224976	23	19	0.016216129233685	0.103193549668905
d__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Acetobacterales..f__Acetobacteraceae..NA	Treatment	ST	1.56398546205312	0.59659165243952	23	11	0.0159449582204834	0.103193549668905
d__Bacteria..p__Chloroflexota..c__Anaerolineae..o__Anaerolineales..f__EnvOPS12..g__OLB14	Treatment	ST	-1.77389393877511	0.688671889806211	23	18	0.0176236205175594	0.111139949209834
d__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Woeseiales..f__Woeseiaceae..g__UBA1844	Treatment	ST	-1.53863914151815	0.603521522380699	23	17	0.0186665766483684	0.116666104052303
d__Bacteria..p__Planctomycetota..c__Planctomycetia..o__Gemmatales..f__Gemmataceae..g__Fimbriiglobus	Treatment	ST	-1.88528834757654	0.741778886543154	23	17	0.0189882343730701	0.117626230629638
d__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhizobiales..NA..NA	Treatment	ST	-1.24614646019874	0.492815876973522	23	19	0.0195297750357738	0.119684636318795
d__Bacteria..p__Verrucomicrobiota..c__Verrucomicrobiae..o__Pedosphaerales..f__UBA8199..g__UBA6082	Treatment	ST	-1.79667327557678	0.711412264610997	23	20	0.0196624759666592	0.119684636318795
d__Bacteria..p__Chloroflexota..c__Anaerolineae..o__Anaerolineales..f__UBA11579..g__OMJR01	Treatment	ST	-1.03568049390464	0.411148547438052	23	5	0.019941800275539	0.120338449938597
d__Archaea..p__Nanoarchaeota..c__Nanoarchaeia..o__Woesearchaeales..NA..NA	Treatment	ST	1.89207071649415	0.754044039711844	23	16	0.0203677182960785	0.120343833616008
d__Bacteria..p__Acidobacteriota..c__Vicinamibacteria..o__Vicinamibacterales..f__SCN.69.37..g__SYFT01	Treatment	ST	1.13911836116103	0.45347931198616	23	23	0.0202481508564699	0.120343833616008
d__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Enterobacterales..NA..NA	Treatment	ST	-1.89475811851904	0.755733973787577	23	18	0.0204584517147214	0.120343833616008
d__Bacteria..p__Firmicutes_A..c__Clostridia..o__Peptostreptococcales..f__Peptostreptococcaceae..g__Tepidibacter	Treatment	ST	-0.727840022040809	0.29078391737612	23	5	0.0206427913310907	0.120416282764696
d__Bacteria..p__Bacteroidota..c__Bacteroidia..o__Chitinophagales..f__UBA10324..g__JACCZZ01	Treatment	ST	0.931641701004679	0.375375700086349	23	5	0.0216061851132028	0.122962029099528
d__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Burkholderiales..f__Burkholderiaceae..g__Variovorax	Treatment	ST	1.5258947205184	0.614552471691339	23	6	0.0215575790528064	0.122962029099528
d__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__Pseudomonadales..f__Pseudomonadaceae..g__Pseudomonas_E	Treatment	ST	1.1800062279693	0.47473148283849	23	17	0.0214328306003094	0.122962029099528
d__Bacteria..p__Actinobacteriota..c__Acidimicrobiia..o__UBA5794..f__S012.128..g__S012.128	Treatment	ST	-0.864768987696138	0.349823371695188	23	9	0.0220705505274806	0.124591817493842
d__Bacteria..p__Acidobacteriota..c__Vicinamibacteria..o__Vicinamibacterales..f__Vicinamibacteraceae..g__Luteitalea	Treatment	ST	-0.66960643292938	0.275343889618172	23	23	0.0240546374081948	0.132022459627364
d__Bacteria..p__Planctomycetota..c__Planctomycetia..o__Pirellulales..f__UBA1268..NA	Treatment	ST	-1.10018705139526	0.451967908829832	23	21	0.0239353586902371	0.132022459627364
d__Bacteria..p__Planctomycetota..c__UBA11346..o__UBA11346..f__UBA11346..g__JACCZE01	Treatment	ST	1.2671553300164	0.521417856010142	23	10	0.0241412497604322	0.132022459627364
d__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__DSM.16500..f__DSM.16500..NA	Treatment	ST	2.94625555716947	1.21031516746243	23	20	0.023931624458345	0.132022459627364
d__Bacteria..p__Proteobacteria..c__Gammaproteobacteria..o__DSM.16500..f__DSM.16500..g__Aquicella_A	Treatment	ST	2.21097800474799	0.91158084870982	23	19	0.0243890938482198	0.132343920106619
d__Bacteria..p__Bacteroidota..c__Bacteroidia..o__AKYH767..f__B.17BO..g__UBA4416	Treatment	ST	0.928861539225263	0.383924925564113	23	5	0.0247062712834492	0.133033768449342
d__Archaea..p__Thermoplasmatota..c__E2..o__DHVEG.1..f__DHVEG.1..g__SM1.50	Treatment	ST	-2.17146146799792	0.901976332575876	23	12	0.0253432858171684	0.135422137954335
d__Bacteria..p__Gemmatimonadota..c__Gemmatimonadetes..o__Gemmatimonadales..f__Gemmatimonadaceae..g__SCN.70.22	Treatment	ST	-1.02758877754577	0.430404373163147	23	7	0.0264423393081387	0.139804030049523
d__Bacteria..p__Nitrospirota..c__Nitrospiria..o__Nitrospirales..f__Nitrospiraceae..NA	Treatment	ST	-0.602016563976906	0.252380086543518	23	4	0.0265627657094093	0.139804030049523
d__Bacteria..p__Desulfobacterota..c__BSN033..o__B13.G15..f__B13.G15..NA	Treatment	ST	-1.76759314795689	0.744170141142508	23	10	0.0271383653600025	0.140882425235631
